Market Store Name,Carrier - Service Selected,Market - Store Name,Order - Number,Ship To - Country,Ship To - Postal Code,Shipment - Weight (Oz),Shipment - Zone,Sum - Total of Line Item Quantity,Shipping Paid,Tracking Number,Length,Width,Height,Insurance,Dim Weight Applied,Dim Weight,Billable Weight oz,Rounded Oz,Shipping Rate,Peak Surcharges,Date - Shipped Date
Halftee,USPS Ground Advantage,Halftee,HT189861,US,32618-2086,20,7,2,6.97,9434650105501060993761,10,13,1,0,No,13,32,32,12.7,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189694,US,34114-9581,3.4,8,1,6.97,420341149361211015300884668246,10,13,1,,Yes,13,13,4,7.65,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189666,US,36830-2138,8.2,7,3,1.98,420368309361211015300884564593,10,13,1,,Yes,13,13,9,7.45,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189834,US,39307-7209,79.6,6,9,1.98,1ZH594030318318655,16,12,8,0,Yes,160,160,80,32.34,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,111-1689289-2856253,US,40475-7527,1,7,1,0,420404759361211015300886875598,10,13,1,,Yes,13,13,1,7.45,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189689,US,93447-2460,18.6,5,4,6.97,420934479361211015300884603988,16,14,1,,Yes,32,32,32,10.07,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,111-6964992-5418660,US,93561-8286,3.9,4,1,0,9400150105501199926744,10,13,1,0,No,13,4,4,4.23,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189754,US,94402-3215,4.6,5,1,6.97,420944029361211015300884668178,10,13,1,,Yes,13,13,5,7.02,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189880,US,94553-2759,2.4,5,1,6.97,420945539361211015300887581634,10,13,1,,Yes,13,13,3,7.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189876,US,95697-0174,6.1,5,1,0,420956979361211015300887581696,10,13,1,,Yes,13,13,7,7.02,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,HT189850,US,96786-2856,3,8,2,6.97,9400150206217320812777,10,13,1,0,No,13,3,3,4.66,0,2025-10-10
Halftee,UPSÂ® Ground,Halftee,HT189851,US,97206-7671,26.2,5,3,6.97,1ZH594030325831498,10,13,1,0,Yes,13,32,32,10.07,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189837,US,97223-1060,0.6,5,4,1.98,420972239361211015300886786771,10,13,1,,Yes,13,13,1,7.02,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189713,US,17202-7548,3.2,7,1,6.97,420172029361211015300884564678,10,13,1,,Yes,13,13,4,7.45,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189703,US,21093-5419,16.8,8,3,6.99,1ZH594030317569458,10,13,1,0,Yes,13,32,32,13.83,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189693,US,22844-2080,1,7,1,0,420228449361211015300884825496,10,13,1,,Yes,13,13,1,7.45,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189860,US,23315-3158,9.1,8,1,0,420233159361211015300887503162,10,13,1,,Yes,13,13,10,7.65,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189607,US,92124-2017,1.3,5,1,6.97,420921249361211015300884815947,10,13,1,,Yes,13,13,2,7.02,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189870,US,92154-3339,2.9,5,1,6.97,420921549361211015300887503100,10,13,1,,Yes,13,13,3,7.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189571,US,92270-4924,4.3,4,1,6.97,420922709361211015300884588889,10,13,1,,Yes,13,13,5,6.85,0,2025-10-06
